date,obs,sim,bf
1987-02-14 00:00:00 +0000 UTC,NaN,1.3846863721078643e-05,1.249187745601077e-05
1987-02-15 00:00:00 +0000 UTC,NaN,1.3069682592910451e-05,1.1790747466595015e-05
1987-02-16 00:00:00 +0000 UTC,NaN,1.2336122209348947e-05,1.112896970936287e-05
1987-02-17 00:00:00 +0000 UTC,NaN,1.1643734274506493e-05,1.0504335466671087e-05
1987-02-18 00:00:00 +0000 UTC,NaN,1.0990207907681913e-05,9.914759989285754e-06
1987-02-19 00:00:00 +0000 UTC,NaN,1.0373361930676093e-05,9.358275538423425e-06
1987-02-20 00:00:00 +0000 UTC,NaN,9.791137587996435e-06,8.83302481832071e-06
1987-02-21 00:00:00 +0000 UTC,NaN,9.241591675653454e-06,8.33725477741318e-06
1987-02-22 00:00:00 +0000 UTC,NaN,8.72289005561652e-06,7.869310757434707e-06
1987-02-23 00:00:00 +0000 UTC,NaN,8.233301534282892e-06,7.4276309709095314e-06
1987-02-24 00:00:00 +0000 UTC,NaN,7.771192084529137e-06,7.010741288605443e-06
1987-02-25 00:00:00 +0000 UTC,NaN,7.335019392060721e-06,6.617250319550881e-06
1987-02-26 00:00:00 +0000 UTC,NaN,6.923327707857935e-06,6.245844767195284e-06
1987-02-27 00:00:00 +0000 UTC,NaN,6.534742989537909e-06,5.8952850462136356e-06
1987-02-28 00:00:00 +0000 UTC,NaN,6.167968315416784e-06,5.564401145326042e-06
1987-03-01 00:00:00 +0000 UTC,NaN,1.8245110980618717e-05,2.2315691534779255e-05
1987-03-02 00:00:00 +0000 UTC,NaN,0.00011595636304055828,9.181575815862877e-05
1987-03-03 00:00:00 +0000 UTC,NaN,0.00026879295668271624,0.00010018751495424192
1987-03-04 00:00:00 +0000 UTC,NaN,0.00012815494039427664,9.456430326754238e-05
1987-03-05 00:00:00 +0000 UTC,NaN,9.893832473771252e-05,8.925670485548964e-05
1987-03-06 00:00:00 +0000 UTC,NaN,9.338522618864002e-05,8.424700533266071e-05
1987-03-07 00:00:00 +0000 UTC,NaN,0.00010963317800595585,0.00010903440919831788
1987-03-08 00:00:00 +0000 UTC,NaN,0.0003324325356456603,0.00017366722557802345
1987-03-09 00:00:00 +0000 UTC,NaN,0.0008075729052649039,0.0002346724042368347
1987-03-10 00:00:00 +0000 UTC,NaN,0.0005692458657289901,0.0002753295507565937
1987-03-11 00:00:00 +0000 UTC,NaN,0.0003809291263359608,0.0002598761646913207
1987-03-12 00:00:00 +0000 UTC,NaN,0.00027189659824465985,0.0002452901288259305
1987-03-13 00:00:00 +0000 UTC,NaN,0.0002566358930607702,0.00023152276150799694
1987-03-14 00:00:00 +0000 UTC,NaN,0.00024223172350186853,0.00021852811343389976
1987-03-15 00:00:00 +0000 UTC,NaN,0.00022863601490377428,0.0002062628142906368
1987-03-16 00:00:00 +0000 UTC,NaN,0.00021580339088276217,0.00019468592800515118
1987-03-17 00:00:00 +0000 UTC,NaN,0.00020369102188952406,0.0001837588161180611
1987-03-18 00:00:00 +0000 UTC,NaN,0.00019225848226332335,0.00017344500882579425
1987-03-19 00:00:00 +0000 UTC,NaN,0.00018146761530925222,0.00016371008326072396
1987-03-20 00:00:00 +0000 UTC,NaN,0.00017128240594828004,0.0001545215486030602
1987-03-21 00:00:00 +0000 UTC,NaN,0.00016166886051505636,0.0001458487376410507
1987-03-22 00:00:00 +0000 UTC,NaN,0.00015259489330228667,0.00013766270441756858
1987-03-23 00:00:00 +0000 UTC,NaN,0.00014403021947301768,0.00012993612762147687
1987-03-24 00:00:00 +0000 UTC,NaN,0.00013594625398342068,0.00012264321940133304
1987-03-25 00:00:00 +0000 UTC,NaN,0.00012831601617872276,0.00011575963929709538
1987-03-26 00:00:00 +0000 UTC,0.0020559343838071373,0.00014528311391483596,0.0001424589420092574
1987-03-27 00:00:00 +0000 UTC,0.0019839766264548625,0.00020922574304650999,0.0001384562706153228
1987-03-28 00:00:00 +0000 UTC,0.0018529108732096415,0.00015864444683285034,0.00014015566819682411
1987-03-29 00:00:00 +0000 UTC,0.001642177554753844,0.00016297690247538097,0.00013228916914530535
1987-03-30 00:00:00 +0000 UTC,0.001734694636337272,0.00016536362405369023,0.00016188789826547965
1987-03-31 00:00:00 +0000 UTC,0.0019608474479664343,0.00035934271625142743,0.00022355421370401455
1987-04-01 00:00:00 +0000 UTC,0.0019325783158769794,0.0006800973899509475,0.0002817593918360892
1987-04-02 00:00:00 +0000 UTC,0.0020148157353448307,0.0004667558047948352,0.0002792655971594329
1987-04-03 00:00:00 +0000 UTC,0.0018631905353252182,0.0003307540100417456,0.0002850054763044141
1987-04-04 00:00:00 +0000 UTC,0.0017681035994845152,0.00033513172220822775,0.00026900901081806765
1987-04-05 00:00:00 +0000 UTC,0.002366894469161426,0.0004588713834067276,0.00032466295343476856
1987-04-06 00:00:00 +0000 UTC,0.003366592651518778,0.0010742017155586311,0.0003771932144163269
1987-04-07 00:00:00 +0000 UTC,0.004034771179204212,0.0010526179342205814,0.0004267751162376466
1987-04-08 00:00:00 +0000 UTC,0.0033151940958544178,0.0008519650914543323,0.0004735741410717712
1987-04-09 00:00:00 +0000 UTC,0.0023257758206991193,0.0006524623503179595,0.0004563156294948462
1987-04-10 00:00:00 +0000 UTC,0.0016241882073232043,0.0004935039806643974,0.0004307040612094065
1987-04-11 00:00:00 +0000 UTC,0.001225850871443276,0.0004506260481106311,0.0004065299901027636
1987-04-12 00:00:00 +0000 UTC,0.0010510964929352352,0.00042788845704800385,0.00038722156268755593
1987-04-13 00:00:00 +0000 UTC,0.0010151176142590979,0.0004378430127118562,0.00040210221813925546
1987-04-14 00:00:00 +0000 UTC,0.0009842785666407488,0.0004838675648971547,0.0003795334789772833
1987-04-15 00:00:00 +0000 UTC,0.0009919883132274313,0.00043970181475067445,0.0004167612447907489
1987-04-16 00:00:00 +0000 UTC,0.0010279671919035686,0.0005437293681455343,0.0004025945534398716
1987-04-17 00:00:00 +0000 UTC,0.0009560094958229132,0.00043713087724413805,0.00037999818103819425
1987-04-18 00:00:00 +0000 UTC,0.0008506428365950144,0.00039757479446476566,0.0003586700723061384
1987-04-19 00:00:00 +0000 UTC,0.0007658355628698882,0.0003752601654254835,0.0003385390435728435
1987-04-20 00:00:00 +0000 UTC,0.0007324265997226449,0.00035419798668258177,0.00031953790648413184
1987-04-21 00:00:00 +0000 UTC,0.0006784583736158678,0.00033431796212035343,0.0003016032437578856
1987-04-22 00:00:00 +0000 UTC,0.0006347697483530479,0.00031555374112408093,0.0002846751975255739
1987-04-23 00:00:00 +0000 UTC,0.0005910811230902281,0.0002992353224817214,0.0002706100580827627
1987-04-24 00:00:00 +0000 UTC,0.0005679518833301807,0.0002905112664572429,0.00026103149138975105
1987-04-25 00:00:00 +0000 UTC,0.0006013607852058047,0.00028278354031324146,0.0002463806106522674
1987-04-26 00:00:00 +0000 UTC,0.0004574453930444937,0.00025777681454304925,0.00023255203800198485
1987-04-27 00:00:00 +0000 UTC,0.00048571449449813904,0.00024330860863175689,0.00021949961985930696
1987-04-28 00:00:00 +0000 UTC,0.0006065006162635929,0.00028221681562504467,0.0002779323696554038
1987-04-29 00:00:00 +0000 UTC,0.0006681786502286719,0.0004346873727271597,0.0002872671554615281
1987-04-30 00:00:00 +0000 UTC,0.0006399095794108363,0.00036360148722082165,0.00029865614480829275
1987-05-01 00:00:00 +0000 UTC,0.0005936510386191223,0.00035993435197665546,0.0002818935100173445
1987-05-02 00:00:00 +0000 UTC,0.000524263258067361,0.00029493234414938523,0.00026607170946007684
